SchoolYear,ISD_Code,ISD_OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,EntityType,IHE_Type,Subgroup,Gender,Total_Graduates_All_Students,Total_Enrolled_in_an_IHE_within_0_6_months,Total_%_Enrolled_in_an_IHE_within_0_6_months,Total_Enrolled_in_an_IHE_within_0_12_months,Total_%_Enrolled_in_an_IHE_within_0_12_months,Total_Enrolled_in_an_IHE_within_0_16_months,Total_%_Enrolled_in_an_IHE_within_0_16_months,Total_Enrolled_in_an_IHE_within_0_24_months,Total_%_Enrolled_in_an_IHE_within_0_24_months,Total_Enrolled_in_an_IHE_within_0_36_months,Total_%_Enrolled_in_an_IHE_within_0_36_months,Total_Enrolled_in_an_IHE_within_0_48_months,Total_%_Enrolled_in_an_IHE_within_0_48_months,Total_Accumulating_24_Credits_within_0_12_months,Total_%_Accumulating_24_Credits_within_0_12_months,Total_Accumulating_24_Credits_within_0_16_months,Total_%_Accumulating_24_Credits_within_0_16_months,Total_Accumulating_24_Credits_within_0_24_months,Total_%_Accumulating_24_Credits_within_0_24_months,Total_Accumulating_24_Credits_within_0_36_months,Total_%_Accumulating_24_Credits_within_0_36_months,Total_Accumulating_24_Credits_within_0_48_months,Total_%_Accumulating_24_Credits_within_0_48_months
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,All Students,Male,29,<10,6.8966,<10,6.8966,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Four Year,All Students,Female,34,<10,17.6471,<10,17.6471,,,,,,,,,<10,5.8824,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Two Year,Students With Disabilities,All Students,20,<10,5,<10,10,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Four Year,Economically Disadvantaged,All Students,49,<10,12.2449,<10,12.2449,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Two Year,African American,Male,28,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Four Year,White,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,All,Asian,Female,10,<10,50,<10,50,,,,,,,,,<10,30,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Four Year,All Students,All Students,30,10,33.3333,10,33.3333,,,,,,,,,<10,13.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Four Year,Economically Disadvantaged,All Students,21,<10,33.3333,<10,33.3333,,,,,,,,,<10,14.2857,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Four Year,All Students,Female,30,10,33.3333,10,33.3333,,,,,,,,,<10,13.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Four Year,African American,Female,20,<10,25,<10,25,,,,,,,,,<10,10,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Two Year,African American,Female,20,<10,10,<10,15,,,,,,,,,<10,5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Two Year,All Students,Female,30,<10,6.6667,<10,10,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,All,English Learners,All Students,<10,<10,83.3333,<10,83.3333,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Four Year,English Learners,All Students,<10,<10,83.3333,<10,83.3333,,,,,,,,,<10,33.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Four Year,Asian,Female,10,<10,50,<10,50,,,,,,,,,<10,20,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,All,African American,Female,20,<10,35,<10,40,,,,,,,,,<10,15,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Two Year,Economically Disadvantaged,All Students,21,<10,9.5238,<10,14.2857,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,All,Economically Disadvantaged,All Students,21,<10,42.8571,10,47.6191,,,,,,,,,<10,23.8095,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Four Year,Asian,All Students,10,<10,50,<10,50,,,,,,,,,<10,20,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Two Year,African American,All Students,20,<10,10,<10,15,,,,,,,,,<10,5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Two Year,All Students,All Students,30,<10,6.6667,<10,10,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,All,All Students,All Students,30,12,40,13,43.3333,,,,,,,,,<10,20,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,All,Asian,All Students,10,<10,50,<10,50,,,,,,,,,<10,30,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,All,All Students,Female,30,12,40,13,43.3333,,,,,,,,,<10,20,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,All,African American,All Students,20,<10,35,<10,40,,,,,,,,,<10,15,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,LEA School,Four Year,African American,All Students,20,<10,25,<10,25,,,,,,,,,<10,10,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,White,All Students,<10,<10,28.5714,<10,28.5714,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,African American,All Students,381,308,80.8399,318,83.4646,,,,,,,,,233,61.1549,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,Two or More Races,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,All Students,Male,162,113,69.7531,116,71.6049,,,,,,,,,80,49.3827,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,African American,All Students,381,275,72.1785,280,73.4908,,,,,,,,,210,55.1181,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,All Students,Male,162,14,8.642,15,9.2593,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,All Students,Male,162,127,78.3951,131,80.8642,,,,,,,,,85,52.4691,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,All Students,All Students,447,38,8.5011,43,9.6197,,,,,,,,,21,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,Asian,All Students,41,38,92.6829,39,>95%,,,,,,,,,32,78.0488,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,African American,Male,133,101,75.9399,105,78.9474,,,,,,,,,66,49.6241,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,African American,Male,133,12,9.0226,13,9.7744,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,White,All Students,<10,<10,71.4286,<10,71.4286,,,,,,,,,<10,57.1429,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,Asian,Female,25,23,92,24,>95%,,,,,,,,,18,72,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,All Students,All Students,447,369,82.5503,380,85.0112,,,,,,,,,282,63.0873,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,White,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,African American,Female,248,186,75,188,75.8065,,,,,,,,,149,60.0807,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,Hispanic/Latino,All Students,17,<10,11.7647,<10,11.7647,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,Economically Disadvantaged,All Students,244,183,75,185,75.8197,,,,,,,,,148,60.6557,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,White,Male,<10,<10,50,<10,50,,,,,,,,,<10,25,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,Two or More Races,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,Students With Disabilities,All Students,<10,<10,60,<10,60,,,,,,,,,<10,60,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,Asian,Female,25,24,>95%,25,>95%,,,,,,,,,21,84,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,Asian,Male,16,14,87.5,14,87.5,,,,,,,,,11,68.75,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,Asian,All Students,41,37,90.2439,38,92.6829,,,,,,,,,29,70.7317,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,Hispanic/Latino,Male,<10,<10,88.8889,<10,88.8889,,,,,,,,,<10,77.7778,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,Hispanic/Latino,All Students,17,15,88.2353,15,88.2353,,,,,,,,,12,70.5882,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,Hispanic/Latino,Female,<10,<10,25,<10,25,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,Students With Disabilities,All Students,<10,<10,80,<10,80,,,,,,,,,<10,60,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,All Students,Female,285,218,76.4912,221,77.5439,,,,,,,,,175,61.4035,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,African American,Female,248,207,83.4677,213,85.8871,,,,,,,,,167,67.3387,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,English Learners,All Students,12,<10,75,<10,75,,,,,,,,,<10,58.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,Asian,Female,25,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,Hispanic/Latino,Female,<10,<10,87.5,<10,87.5,,,,,,,,,<10,62.5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,Two or More Races,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,African American,All Students,381,33,8.6614,38,9.9738,,,,,,,,,20,5.2493,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,White,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,57.1429,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,All Students,All Students,447,331,74.0492,337,75.3915,,,,,,,,,255,57.047,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,Two or More Races,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,Students With Disabilities,All Students,<10,<10,20,<10,20,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,Asian,All Students,41,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,Hispanic/Latino,Male,<10,<10,88.8889,<10,88.8889,,,,,,,,,<10,77.7778,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,Asian,Male,16,14,87.5,14,87.5,,,,,,,,,11,68.75,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,All Students,Female,285,24,8.4211,28,9.8246,,,,,,,,,16,5.614,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,African American,Male,133,89,66.9173,92,69.1729,,,,,,,,,61,45.8647,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,Economically Disadvantaged,All Students,244,24,9.8361,26,10.6557,,,,,,,,,13,5.3279,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,White,Male,<10,<10,50,<10,50,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,White,Male,<10,<10,>95%,<10,>95%,,,,,,,,,<10,25,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,Hispanic/Latino,Female,<10,<10,62.5,<10,62.5,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,White,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,All Students,Female,285,242,84.9123,249,87.3684,,,,,,,,,197,69.1228,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,English Learners,All Students,12,11,91.6667,11,91.6667,,,,,,,,,<10,58.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,All,Economically Disadvantaged,All Students,244,207,84.8361,211,86.4754,,,,,,,,,163,66.8033,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Four Year,Hispanic/Latino,All Students,17,13,76.4706,13,76.4706,,,,,,,,,11,64.7059,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,African American,Female,248,21,8.4677,25,10.0807,,,,,,,,,15,6.0484,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,LEA School,Two Year,English Learners,All Students,12,<10,16.6667,<10,16.6667,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,Asian,Male,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,African American,All Students,81,37,45.679,38,46.9136,,,,,,,,,20,24.6914,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,Students With Disabilities,All Students,<10,<10,14.2857,<10,14.2857,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,African American,Female,58,44,75.8621,46,79.3103,,,,,,,,,21,36.2069,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,White,Male,<10,<10,>95%,<10,>95%,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,White,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,African American,Female,58,13,22.4138,14,24.1379,,,,,,,,,<10,5.1724,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,Asian,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,White,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,75,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,English Learners,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,African American,Male,23,14,60.8696,15,65.2174,,,,,,,,,<10,26.087,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,All Students,Male,26,<10,34.6154,10,38.4615,,,,,,,,,<10,7.6923,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,Economically Disadvantaged,All Students,49,33,67.3469,36,73.4694,,,,,,,,,12,24.4898,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,White,Male,<10,<10,>95%,<10,>95%,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,English Learners,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,All Students,Female,60,33,55,34,56.6667,,,,,,,,,18,30,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,All Students,Female,60,13,21.6667,14,23.3333,,,,,,,,,<10,5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,All Students,Male,26,<10,30.7692,<10,30.7692,,,,,,,,,<10,19.2308,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,African American,All Students,81,58,71.6049,61,75.3086,,,,,,,,,27,33.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,All Students,All Students,86,41,47.6744,42,48.8372,,,,,,,,,23,26.7442,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,All Students,All Students,86,22,25.5814,24,27.907,,,,,,,,,<10,5.814,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,African American,Female,58,31,53.4483,32,55.1724,,,,,,,,,16,27.5862,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,Homeless,All Students,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,Students With Disabilities,All Students,<10,<10,42.8571,<10,57.1429,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,Asian,Male,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,African American,All Students,81,21,25.9259,23,28.3951,,,,,,,,,<10,6.1728,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,Students With Disabilities,All Students,<10,<10,28.5714,<10,42.8571,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,White,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,75,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,All Students,Male,26,17,65.3846,18,69.2308,,,,,,,,,<10,26.9231,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,African American,Male,23,<10,26.087,<10,26.087,,,,,,,,,<10,17.3913,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,Asian,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,African American,Male,23,<10,34.7826,<10,39.1304,,,,,,,,,<10,8.6957,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,All Students,All Students,86,63,73.2558,66,76.7442,,,,,,,,,30,34.8837,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,White,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Two Year,Economically Disadvantaged,All Students,49,10,20.4082,12,24.4898,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,All,All Students,Female,60,46,76.6667,48,80,,,,,,,,,23,38.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,,LEA School,Four Year,Economically Disadvantaged,All Students,49,23,46.9388,24,48.9796,,,,,,,,,10,20.4082,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,White,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Four Year,Students With Disabilities,All Students,31,<10,12.9032,<10,12.9032,,,,,,,,,<10,9.6774,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,All Students,Male,145,61,42.069,70,48.2759,,,,,,,,,21,14.4828,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Four Year,All Students,Male,145,36,24.8276,36,24.8276,,,,,,,,,19,13.1035,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,White,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,All Students,All Students,324,159,49.0741,170,52.4691,,,,,,,,,54,16.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,All Students,Female,179,98,54.7486,100,55.8659,,,,,,,,,33,18.4358,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,White,Male,<10,<10,>95%,<10,>95%,,,,,,,,,<10,50,,,,,,,,
